Row,name,obsid,ra,dec,start_time,processing_date,xrt_exposure,uvot_exposure,bat_exposure,archive_date,_offset,"""dec2"""
673,XMMUJ004243.6+412519,32286017,00 42 47.21,41 23 59.2,2014-08-23T13:54:59,2018-03-01T00:00:00,3430.665,3429.572,3444,03/09/2014,7.8616,+41 23 59.2
674,M31N2015-09c,34101004,00 43 00.52,41 24 00.7,2015-11-08T08:16:57,2015-11-18T00:00:00,1511.892,1508.222,1524,19/11/2015,8.4336,+41 24 00.7
675,M31N2015-09c,34101005,00 43 09.71,41 24 02.7,2015-11-10T17:47:58,2015-11-20T00:00:00,1606.263,1605.113,1619,21/11/2015,9.2243,+41 24 02.7
676,M31N2015-09c,34101010,00 43 10.51,41 24 07.1,2015-12-13T14:30:58,2015-12-23T00:00:00,1316.021,1311.803,1335,24/12/2015,9.3652,+41 24 07.1
677,XMMUJ004243.6+412519,32286022,00 42 34.60,41 24 09.6,2014-08-29T10:50:59,2018-03-02T00:00:00,3712.074,3711.618,3733,09/09/2014,8.2222,+41 24 09.6
678,XMMUJ004243.6+412519,32286027,00 42 47.55,41 24 12.2,2014-09-03T15:45:59,2018-03-02T00:00:00,3568.374,3567.705,3621,14/09/2014,8.0823,+41 24 12.2
679,M31N2015-09c,34101006,00 43 14.87,41 24 14.5,2015-11-14T17:34:57,2015-11-24T00:00:00,165.473,165.152,172,25/11/2015,9.919,+41 24 14.5
680,XMMUJ004243.6+412519,32286026,00 42 46.21,41 24 20.9,2014-09-02T10:40:59,2018-03-02T00:00:00,3317.091,3315.349,3329,13/09/2014,8.2124,+41 24 20.9
681,XMMUJ004243.6+412519,32286036,00 42 49.8,41 24 29.2,2015-06-18T13:48:15,2015-06-28T00:00:00,773.2,771.819,782,29/06/2015,8.3899,+41 24 29.2
682,XMMUJ004243.6+412519,32286023,00 42 47.5,41 24 32.2,2014-08-30T15:54:59,2018-03-02T00:00:00,3414.005,3413.177,3435,10/09/2014,8.4078,+41 24 32.2
683,M31N2014-02a,33599001,00 43 25.17,41 24 39.7,2015-01-14T01:12:59,2015-01-24T00:00:00,9937.54,9970.813,10022,25/01/2015,11.4557,+41 24 39.7
684,XMMUJ004243.6+412519,32286015,00 42 49.39,41 24 40.2,2014-08-24T12:38:59,2018-03-01T00:00:00,2567.618,2566.853,2589,04/09/2014,8.5779,+41 24 40.2
